Decile,Sample,Value
1,s_C_V7KV1F_N001_d,2
2,s_C_V7KV1F_N001_d,133
3,s_C_V7KV1F_N001_d,158
4,s_C_V7KV1F_N001_d,180
5,s_C_V7KV1F_N001_d,202
6,s_C_V7KV1F_N001_d,226
7,s_C_V7KV1F_N001_d,251
8,s_C_V7KV1F_N001_d,280
9,s_C_V7KV1F_N001_d,317
10,s_C_V7KV1F_N001_d,372
11,s_C_V7KV1F_N001_d,846
1,s_C_XNY8VN_N001_d,2
2,s_C_XNY8VN_N001_d,75
3,s_C_XNY8VN_N001_d,93
4,s_C_XNY8VN_N001_d,107
5,s_C_XNY8VN_N001_d,119
6,s_C_XNY8VN_N001_d,132
7,s_C_XNY8VN_N001_d,146
8,s_C_XNY8VN_N001_d,163
9,s_C_XNY8VN_N001_d,185
10,s_C_XNY8VN_N001_d,219
11,s_C_XNY8VN_N001_d,492
1,s_C_FCV3TX_N001_d,2
2,s_C_FCV3TX_N001_d,133
3,s_C_FCV3TX_N001_d,157
4,s_C_FCV3TX_N001_d,179
5,s_C_FCV3TX_N001_d,201
6,s_C_FCV3TX_N001_d,224
7,s_C_FCV3TX_N001_d,249
8,s_C_FCV3TX_N001_d,279
9,s_C_FCV3TX_N001_d,316
10,s_C_FCV3TX_N001_d,371
11,s_C_FCV3TX_N001_d,844
1,s_C_T0F2EP_N001_d,2
2,s_C_T0F2EP_N001_d,131
3,s_C_T0F2EP_N001_d,154
4,s_C_T0F2EP_N001_d,175
5,s_C_T0F2EP_N001_d,196
6,s_C_T0F2EP_N001_d,218
7,s_C_T0F2EP_N001_d,242
8,s_C_T0F2EP_N001_d,269
9,s_C_T0F2EP_N001_d,304
10,s_C_T0F2EP_N001_d,356
11,s_C_T0F2EP_N001_d,808
1,s_C_T2VHJ6_N001_d,2
2,s_C_T2VHJ6_N001_d,130
3,s_C_T2VHJ6_N001_d,168
4,s_C_T2VHJ6_N001_d,200
5,s_C_T2VHJ6_N001_d,231
6,s_C_T2VHJ6_N001_d,261
7,s_C_T2VHJ6_N001_d,293
8,s_C_T2VHJ6_N001_d,330
9,s_C_T2VHJ6_N001_d,375
10,s_C_T2VHJ6_N001_d,442
11,s_C_T2VHJ6_N001_d,1081
1,s_C_4LDR7M_N001_d,2
2,s_C_4LDR7M_N001_d,64
3,s_C_4LDR7M_N001_d,78
4,s_C_4LDR7M_N001_d,90
5,s_C_4LDR7M_N001_d,102
6,s_C_4LDR7M_N001_d,114
7,s_C_4LDR7M_N001_d,128
8,s_C_4LDR7M_N001_d,143
9,s_C_4LDR7M_N001_d,163
10,s_C_4LDR7M_N001_d,193
11,s_C_4LDR7M_N001_d,444
1,s_C_RMJ2HJ_N001_d,2
2,s_C_RMJ2HJ_N001_d,106
3,s_C_RMJ2HJ_N001_d,124
4,s_C_RMJ2HJ_N001_d,139
5,s_C_RMJ2HJ_N001_d,155
6,s_C_RMJ2HJ_N001_d,171
7,s_C_RMJ2HJ_N001_d,189
8,s_C_RMJ2HJ_N001_d,211
9,s_C_RMJ2HJ_N001_d,239
10,s_C_RMJ2HJ_N001_d,282
11,s_C_RMJ2HJ_N001_d,611
1,s_C_DHAR9P_N001_d,2
2,s_C_DHAR9P_N001_d,87
3,s_C_DHAR9P_N001_d,106
4,s_C_DHAR9P_N001_d,119
5,s_C_DHAR9P_N001_d,132
6,s_C_DHAR9P_N001_d,145
7,s_C_DHAR9P_N001_d,159
8,s_C_DHAR9P_N001_d,175
9,s_C_DHAR9P_N001_d,197
10,s_C_DHAR9P_N001_d,231
11,s_C_DHAR9P_N001_d,505
1,s_C_K77HCW_N001_d,2
2,s_C_K77HCW_N001_d,131
3,s_C_K77HCW_N001_d,154
4,s_C_K77HCW_N001_d,175
5,s_C_K77HCW_N001_d,196
6,s_C_K77HCW_N001_d,218
7,s_C_K77HCW_N001_d,242
8,s_C_K77HCW_N001_d,269
9,s_C_K77HCW_N001_d,304
10,s_C_K77HCW_N001_d,356
11,s_C_K77HCW_N001_d,808
1,s_C_006194_N001_d,2
2,s_C_006194_N001_d,129
3,s_C_006194_N001_d,153
4,s_C_006194_N001_d,174
5,s_C_006194_N001_d,195
6,s_C_006194_N001_d,217
7,s_C_006194_N001_d,241
8,s_C_006194_N001_d,270
9,s_C_006194_N001_d,305
10,s_C_006194_N001_d,357
11,s_C_006194_N001_d,817
1,s_C_323C2E_N001_d,2
2,s_C_323C2E_N001_d,134
3,s_C_323C2E_N001_d,159
4,s_C_323C2E_N001_d,182
5,s_C_323C2E_N001_d,204
6,s_C_323C2E_N001_d,227
7,s_C_323C2E_N001_d,253
8,s_C_323C2E_N001_d,282
9,s_C_323C2E_N001_d,320
10,s_C_323C2E_N001_d,375
11,s_C_323C2E_N001_d,857
1,s_C_050RR4_N001_d,2
2,s_C_050RR4_N001_d,115
3,s_C_050RR4_N001_d,137
4,s_C_050RR4_N001_d,156
5,s_C_050RR4_N001_d,174
6,s_C_050RR4_N001_d,194
7,s_C_050RR4_N001_d,216
8,s_C_050RR4_N001_d,242
9,s_C_050RR4_N001_d,276
10,s_C_050RR4_N001_d,328
11,s_C_050RR4_N001_d,734
1,s_C_A18L6Y_N002_d,2
2,s_C_A18L6Y_N002_d,160
3,s_C_A18L6Y_N002_d,200
4,s_C_A18L6Y_N002_d,237
5,s_C_A18L6Y_N002_d,272
6,s_C_A18L6Y_N002_d,309
7,s_C_A18L6Y_N002_d,348
8,s_C_A18L6Y_N002_d,394
9,s_C_A18L6Y_N002_d,451
10,s_C_A18L6Y_N002_d,535
11,s_C_A18L6Y_N002_d,1292
1,s_C_NKCHT1_N001_d,2
2,s_C_NKCHT1_N001_d,69
3,s_C_NKCHT1_N001_d,86
4,s_C_NKCHT1_N001_d,100
5,s_C_NKCHT1_N001_d,112
6,s_C_NKCHT1_N001_d,124
7,s_C_NKCHT1_N001_d,136
8,s_C_NKCHT1_N001_d,151
9,s_C_NKCHT1_N001_d,169
10,s_C_NKCHT1_N001_d,197
11,s_C_NKCHT1_N001_d,454
1,s_C_7WH89J_N001_d,2
2,s_C_7WH89J_N001_d,57
3,s_C_7WH89J_N001_d,69
4,s_C_7WH89J_N001_d,80
5,s_C_7WH89J_N001_d,90
6,s_C_7WH89J_N001_d,101
7,s_C_7WH89J_N001_d,113
8,s_C_7WH89J_N001_d,126
9,s_C_7WH89J_N001_d,144
10,s_C_7WH89J_N001_d,171
11,s_C_7WH89J_N001_d,391
1,s_C_3R3P4M_N001_d,2
2,s_C_3R3P4M_N001_d,97
3,s_C_3R3P4M_N001_d,119
4,s_C_3R3P4M_N001_d,137
5,s_C_3R3P4M_N001_d,154
6,s_C_3R3P4M_N001_d,171
7,s_C_3R3P4M_N001_d,190
8,s_C_3R3P4M_N001_d,212
9,s_C_3R3P4M_N001_d,240
10,s_C_3R3P4M_N001_d,282
11,s_C_3R3P4M_N001_d,651
1,s_C_4V98UM_N001_d,2
2,s_C_4V98UM_N001_d,92
3,s_C_4V98UM_N001_d,112
4,s_C_4V98UM_N001_d,129
5,s_C_4V98UM_N001_d,146
6,s_C_4V98UM_N001_d,162
7,s_C_4V98UM_N001_d,180
8,s_C_4V98UM_N001_d,200
9,s_C_4V98UM_N001_d,226
10,s_C_4V98UM_N001_d,264
11,s_C_4V98UM_N001_d,612
1,s_C_V5CJN6_N001_d,2
2,s_C_V5CJN6_N001_d,95
3,s_C_V5CJN6_N001_d,113
4,s_C_V5CJN6_N001_d,128
5,s_C_V5CJN6_N001_d,143
6,s_C_V5CJN6_N001_d,159
7,s_C_V5CJN6_N001_d,176
8,s_C_V5CJN6_N001_d,197
9,s_C_V5CJN6_N001_d,225
10,s_C_V5CJN6_N001_d,267
11,s_C_V5CJN6_N001_d,589
1,s_C_039N6D_N001_d,2
2,s_C_039N6D_N001_d,57
3,s_C_039N6D_N001_d,69
4,s_C_039N6D_N001_d,79
5,s_C_039N6D_N001_d,90
6,s_C_039N6D_N001_d,100
7,s_C_039N6D_N001_d,111
8,s_C_039N6D_N001_d,125
9,s_C_039N6D_N001_d,141
10,s_C_039N6D_N001_d,167
11,s_C_039N6D_N001_d,380
1,s_C_DRN9KE_N001_d,2
2,s_C_DRN9KE_N001_d,64
3,s_C_DRN9KE_N001_d,78
4,s_C_DRN9KE_N001_d,90
5,s_C_DRN9KE_N001_d,101
6,s_C_DRN9KE_N001_d,112
7,s_C_DRN9KE_N001_d,124
8,s_C_DRN9KE_N001_d,138
9,s_C_DRN9KE_N001_d,156
10,s_C_DRN9KE_N001_d,184
11,s_C_DRN9KE_N001_d,423
1,s_C_T74FN2_N001_d,2
2,s_C_T74FN2_N001_d,142
3,s_C_T74FN2_N001_d,173
4,s_C_T74FN2_N001_d,201
5,s_C_T74FN2_N001_d,229
6,s_C_T74FN2_N001_d,257
7,s_C_T74FN2_N001_d,288
8,s_C_T74FN2_N001_d,323
9,s_C_T74FN2_N001_d,367
10,s_C_T74FN2_N001_d,433
11,s_C_T74FN2_N001_d,1017
1,s_C_H2ACV6_N001_d,2
2,s_C_H2ACV6_N001_d,65
3,s_C_H2ACV6_N001_d,79
4,s_C_H2ACV6_N001_d,91
5,s_C_H2ACV6_N001_d,103
6,s_C_H2ACV6_N001_d,114
7,s_C_H2ACV6_N001_d,126
8,s_C_H2ACV6_N001_d,140
9,s_C_H2ACV6_N001_d,157
10,s_C_H2ACV6_N001_d,184
11,s_C_H2ACV6_N001_d,424
1,s_C_7KWKUJ_N001_d,2
2,s_C_7KWKUJ_N001_d,71
3,s_C_7KWKUJ_N001_d,85
4,s_C_7KWKUJ_N001_d,97
5,s_C_7KWKUJ_N001_d,107
6,s_C_7KWKUJ_N001_d,117
7,s_C_7KWKUJ_N001_d,128
8,s_C_7KWKUJ_N001_d,140
9,s_C_7KWKUJ_N001_d,156
10,s_C_7KWKUJ_N001_d,180
11,s_C_7KWKUJ_N001_d,397
1,s_C_9F3EV4_N001_d,2
2,s_C_9F3EV4_N001_d,62
3,s_C_9F3EV4_N001_d,74
4,s_C_9F3EV4_N001_d,84
