chrom	start	stop	gene	transcript	exon
1	2488104	2488172	TNFRSF14	NM_003820	exon1
1	2489165	2489273	TNFRSF14	NM_003820	exon2
1	2489782	2489907	TNFRSF14	NM_003820	exon3
1	2491262	2491417	TNFRSF14	NM_003820	exon4
1	2492063	2492153	TNFRSF14	NM_003820	exon5
1	2493112	2493254	TNFRSF14	NM_003820	exon6
1	2494304	2494335	TNFRSF14	NM_003820	exon7
1	2494587	2494712	TNFRSF14	NM_003820	exon8
1	8073270	8074456	ERRFI1	NM_018948	exon4
1	8075368	8075444	ERRFI1	NM_018948	exon3
1	8075555	8075679	ERRFI1	NM_018948	exon2
1	9770514	9770654	PIK3CD	NM_005026	exon3
1	9775599	9775827	PIK3CD	NM_005026	exon4
1	9775907	9776136	PIK3CD	NM_005026	exon5
1	9776498	9776677	PIK3CD	NM_005026	exon6
1	9777017	9777166	PIK3CD	NM_005026	exon7
1	9777595	9777684	PIK3CD	NM_005026	exon8
1	9778752	9778973	PIK3CD	NM_005026	exon9
1	9779979	9780075	PIK3CD	NM_005026	exon10
1	9780170	9780300	PIK3CD	NM_005026	exon11
1	9780669	9780719	PIK3CD	NM_005026	exon12
1	9780800	9780967	PIK3CD	NM_005026	exon13
1	9781185	9781306	PIK3CD	NM_005026	exon14
1	9781502	9781645	PIK3CD	NM_005026	exon15
1	9781819	9781918	PIK3CD	NM_005026	exon16
1	9782033	9782211	PIK3CD	NM_005026	exon17
1	9782302	9782414	PIK3CD	NM_005026	exon18
1	9782586	9782664	PIK3CD	NM_005026	exon19
1	9783183	9783350	PIK3CD	NM_005026	exon20
1	9784027	9784150	PIK3CD	NM_005026	exon21
1	9784334	9784479	PIK3CD	NM_005026	exon22
1	9784862	9784994	PIK3CD	NM_005026	exon23
1	9786967	9787104	PIK3CD	NM_005026	exon24
1	11167542	11167557	MTOR	NM_004958	exon58
1	11168238	11168343	MTOR	NM_004958	exon57
1	11169347	11169427	MTOR	NM_004958	exon56
1	11169706	11169786	MTOR	NM_004958	exon55
1	11172909	11172974	MTOR	NM_004958	exon54
1	11174375	11174510	MTOR	NM_004958	exon53
1	11174870	11174944	MTOR	NM_004958	exon52
1	11175453	11175525	MTOR	NM_004958	exon51
1	11177061	11177143	MTOR	NM_004958	exon50
1	11181303	11181425	MTOR	NM_004958	exon49
1	11182036	11182183	MTOR	NM_004958	exon48
1	11184555	11184690	MTOR	NM_004958	exon47
1	11186679	11186853	MTOR	NM_004958	exon46
1	11187067	11187201	MTOR	NM_004958	exon45
1	11187681	11187863	MTOR	NM_004958	exon44
1	11188061	11188183	MTOR	NM_004958	exon43
1	11188511	11188609	MTOR	NM_004958	exon42
1	11188912	11189008	MTOR	NM_004958	exon41
1	11189795	11189895	MTOR	NM_004958	exon40
1	11190586	11190834	MTOR	NM_004958	exon39
1	11193137	11193254	MTOR	NM_004958	exon38
1	11194408	11194523	MTOR	NM_004958	exon37
1	11199361	11199492	MTOR	NM_004958	exon36
1	11199590	11199715	MTOR	NM_004958	exon35
1	11204705	11204812	MTOR	NM_004958	exon34
1	11205025	11205102	MTOR	NM_004958	exon33
1	11206733	11206848	MTOR	NM_004958	exon32
1	11210183	11210283	MTOR	NM_004958	exon31
1	11217209	11217348	MTOR	NM_004958	exon30
1	11227499	11227574	MTOR	NM_004958	exon29
1	11259315	11259460	MTOR	NM_004958	exon28
1	11259598	11259760	MTOR	NM_004958	exon27
1	11264618	11264760	MTOR	NM_004958	exon26
1	11269369	11269515	MTOR	NM_004958	exon25
1	11270871	11270963	MTOR	NM_004958	exon24
1	11272369	11272531	MTOR	NM_004958	exon23
1	11272853	11272965	MTOR	NM_004958	exon22
1	11273456	11273623	MTOR	NM_004958	exon21
1	11276205	11276291	MTOR	NM_004958	exon20
1	11288725	11288975	MTOR	NM_004958	exon19
1	11290982	11291111	MTOR	NM_004958	exon18
1	11291357	11291491	MTOR	NM_004958	exon17
1	11292493	11292585	MTOR	NM_004958	exon16
1	11293455	11293544	MTOR	NM_004958	exon15
1	11294200	11294322	MTOR	NM_004958	exon14
1	11297900	11298105	MTOR	NM_004958	exon13
1	11298459	11298674	MTOR	NM_004958	exon12
1	11300360	11300604	MTOR	NM_004958	exon11
1	11301610	11301738	MTOR	NM_004958	exon10
1	11303171	11303357	MTOR	NM_004958	exon9
1	11307682	11307790	MTOR	NM_004958	exon8
1	11307876	11308151	MTOR	NM_004958	exon7
1	11313896	11314030	MTOR	NM_004958	exon6
1	11316049	11316249	MTOR	NM_004958	exon5
1	11316990	11317222	MTOR	NM_004958	exon4
1	11318542	11318650	MTOR	NM_004958	exon3
1	11319305	11319466	MTOR	NM_004958	exon2
1	16174563	16174645	SPEN	NM_015001	exon1
1	16199311	16199631	SPEN	NM_015001	exon2
1	16202697	16203173	SPEN	NM_015001	exon3
1	16235816	16235976	SPEN	NM_015001	exon4
1	16237596	16237796	SPEN	NM_015001	exon5
1	16242623	16242774	SPEN	NM_015001	exon6
1	16245421	16245546	SPEN	NM_015001	exon7
1	16245899	16246012	SPEN	NM_015001	exon8
1	16247365	16247478	SPEN	NM_015001	exon9
1	16248744	16248844	SPEN	NM_015001	exon10
1	16254586	16262761	SPEN	NM_015001	exon11
1	16263658	16264140	SPEN	NM_015001	exon12
1	16264307	16264501	SPEN	NM_015001	exon13
1	16265213	16265371	SPEN	NM_015001	exon14
1	16265791	16265922	SPEN	NM_015001	exon15
1	17345376	17345453	SDHB	NM_003000	exon8
1	17349103	17349225	SDHB	NM_003000	exon7
1	17350468	17350569	SDHB	NM_003000	exon6
1	17354244	17354360	SDHB	NM_003000	exon5
1	17355095	17355231	SDHB	NM_003000	exon4
1	17359555	17359640	SDHB	NM_003000	exon3
1	17371256	17371383	SDHB	NM_003000	exon2
1	17380443	17380514	SDHB	NM_003000	exon1
1	23885451	23885510	ID3	NM_002167	exon2
1	23885618	23885917	ID3	NM_002167	exon1
1	27022895	27024031	ARID1A	NM_006015	exon1
1	27056142	27056354	ARID1A	NM_006015	exon2
1	27057643	27058095	ARID1A	NM_006015	exon3
1	27059167	27059283	ARID1A	NM_006015	exon4
1	27087347	27087587	ARID1A	NM_006015	exon5
1	27087875	27087964	ARID1A	NM_006015	exon6
1	27088643	27088810	ARID1A	NM_006015	exon7
